actors,année_de_diffusion,country,description,genre,language,mention,nbr_episodes,nbr_saisons,press_score,public_score,realisator,status,time,title,years
"Kenichiro Ohashi,Aoi Yūki,Kenjiro Tsuda",Depuis 2022," Pologne, Japon",Série animée dérivée du jeu vidéo Cyberpunk 2077.,"Action,Animation,Science Fiction",,,10,1,4.4,5.0,"Yoshiki Usa,Masahiko Ootsuka",En cours,24 min,Cyberpunk: Edgerunners,
"Elisabeth Moss,Yvonne Strahovski,Madeline Brewer",Depuis 2017, U.S.A.,"Dans une société dystopique et totalitaire au très bas taux de natalité, les femmes sont divisées en trois catégories : les Epouses, qui dominent la maison, les Marthas, qui l'entretiennent, et les Servantes, dont le rôle est la reproduction.",Drame,,,66,6,4.4,4.4,Bruce Miller (II),En cours,60 min,The Handmaid’s Tale : la servante écarlate,
"Joseph Morgan,Daniel Gillies,Phoebe Tonkin",2013 - 2018, U.S.A.,"Le vampire originel Klaus fait son retour au Vieux Carré, un quartier français de la Nouvelle Orléans. Dans cette ville qu’il a aidé à construire quelques siècles plus tôt, il y retrouve son ancien protégé, le diabolique et charismatique Marcel. Dans l’espoir d’aider son jeune frère à trouver la rédemption, Elijah est contraint de s’allier avec des ennemis de Marcel...","Drame,Fantastique,Epouvante-horreur",,,92,5,4.3,5.0,Julie Plec,Terminée,42 min,The Originals,
"Tom Schilling,Volker Bruch,Katharina Schüttler",2013, Allemagne,Les destins de cinq amis allemands durant la Seconde Guerre mondiale. Une époque troublée opposant les complices de ces violences à ceux qui ont dû porté le fardeau de la culpabilité des atrocités nazies.,"Drame,Historique,Guerre",,,3,1,4.3,4.5,Stefan Kolditz,Terminée,90 min,Generation War,
"Amaia Salamanca,Yon González,Eloy Azorin",2011 - 2013, Espagne,"1905. Un jeune homme prénommé Julio arrive au Grand Hôtel, un magnifique palace où les riches familles de la noblesse espagnole aiment séjourner, pour enquêter sur la disparition de sa sœur, Cristina, gouvernante à l'hôtel.",Drame,,,39,3,4.3,5.0,"Ramón Campos,Gema R. Neira",Terminée,75 min,Grand hôtel (2011),
"Joong-ki Song,Jeon Yeo-bin, Taecyeon",2021 - 2022, Corée du Sud,"Profitant d'une visite dans son pays natal, un avocat mafieux italo-coréen s'attaque à un puissant conglomérat pharmaceutique et rend justice à sa manière.","Comédie,Drame,Thriller",,,20,1,4.3,5.0,Park Jae-bum,Terminée,70 min,Vincenzo,
"Harriet Herbig-Matten,Damian Hardung,Sonja Weißer",Depuis 2024, Allemagne,"Lorsque Ruby est involontairement témoin d'un secret explosif à l'école privée Maxton Hall, l'arrogant héritier millionnaire James Beaufort doit faire face à la vivacité d'esprit de l'étudiante pour le meilleur et pour le pire : il est déterminé à faire taire Ruby. Leur échange passionné de mots déclenche inopinément une étincelle ...",Drame,,,6,2,3.1,4.3,Daphne Ferraro,En cours,42 min,Maxton Hall - Le monde qui nous sépare,
,2015 - 2018, U.S.A.,"Huit individus éparpillés aux quatre coins du monde sont connectés par une soudaine et violente vision. Désormais liés, ils se retrouvent capables du jour au lendemain de se voir, de se sentir, de s'entendre et de se parler comme s'ils étaient au même endroit, et ainsi accéder aux plus sombres secrets des uns et des autres. Les huit doivent dès lors s'adapter à ce nouveau don, mais aussi comprendre le pourquoi du comment. Fuyant une organisation qui veut les capturer, les tuer ou faire d'eux des cobayes, ils cherchent quelles conséquences ce bouleversement pourrait avoir sur l'humanité.","Drame,Fantastique,Science Fiction",,,24,2,3.0,4.3,,Terminée,50 min,Sense8,
" Orelsan, Gringe",Depuis 2015, France,"En attendant qu'il se passe quelque chose, ils ont décidé de ne rien faire.",Comédie,,,120,1,4.3,4.0,"Kyan Khojandi,Bruno Muschio,Harry Tordjman",En cours,2 min,Bloqués,
"Helen Mirren,Harrison Ford,Brandon Sklenar",Depuis 2022, U.S.A.,"Se déroulant pendant la Prohibition aux États-Unis et la Grande Dépression, 1923 suivra une nouvelle génération de Dutton qui lutte une sécheresse historique et le vol de bétail.","Drame,Historique,Western",,,16,2,3.9,4.3,Taylor Sheridan,En cours,60 min,1923,
"Beren Saat,Engin Akyürek,Sumru Yavrucuk",2010 - 2012, Turquie,"Fatmagül vit dans un village côtier avec son frère Rahmi et sa femme Mukaddes. Dans quelques semaines, elle doit épouser son fiancé, son amour d’enfance, le pêcheur Mustafa. Dans le même village vit Kerim, avec Meryem, également surnommée Ebe Nine, la guérisseuse du village. Ils vivent tous les deux une vie simple. Tous les étés, Kerim attend avec impatience la venue de ses amis d’enfance : Selim, Erdogan et Vural. Tous les trois viennent de familles très aisées et vivent dans les plus grandes villes du pays.","Drame,Feuilleton",,,80,2,4.2,4.5,,Terminée,60 min,Fatmagül,
"Jennifer Aniston,Courteney Cox,Lisa Kudrow",1994 - 2004, U.S.A.,"Les péripéties de 6 jeunes newyorkais liés par une profonde amitié. Entre amour, travail, famille, ils partagent leurs bonheurs et leurs soucis au Central Perk, leur café favori...",Comédie,,,237,10,2.9,4.2,"David Crane,Marta Kauffman",Terminée,22 min,Friends,
"Iñaki Godoy, Mackenyu,Emily Rudd",Depuis 2023, U.S.A.,"Monkey D. Luffy est un jeune aventurier qui a toujours rêvé d'une vie de liberté. Quittant son village, il se lance dans un périlleux voyage à la recherche d'un trésor mythique, le One Piece, afin de devenir le roi des pirates ! Mais pour trouver ce fameux butin, Luffy devra assembler l'équipage de ses rêves puis dénicher un navire, quadriller les océans, se défaire de la Marine à ses trousses et se montrer meilleur stratège que les dangereux rivaux qui l'attendent à chaque étape.","Action,Aventure,Fantastique",,,8,2,3.5,4.2,"Steven Maeda,Matt Owens",En cours,55 min,One Piece (2023),
"Rebecca Ferguson, Common,Tim Robbins",Depuis 2023, U.S.A.,"Dans un futur où la Terre est dévastée et l'air devenu toxique, les survivants vivent dans un silo géant souterrain de 144 étages. Au sein de cette communauté, les individus doivent se plier à toute une série de règles très strictes destinées les protéger. Les citoyens qui enfreignent la loi sont envoyés en dehors du silo, condamnés à y trouver la mort au contact d’une atmosphère irrespirable. Pourtant, peu à peu, l'idée que les dirigeants mentent sur ce qu'il se passe à l'extérieur fait son chemin...","Drame,Science Fiction",,,20,3,3.6,4.2,Graham Yost,En cours,60 min,Silo,
"Sylvester Stallone,Andrea Savage,Martin Starr",Depuis 2022, U.S.A.,"Fraîchement libéré de prison après une peine de 25 ans, l'ex-parrain de la mafia new-yorkaise Dwight Manfredi, dit ""Le Général"", se fait virer sans cérémonie par un baron du crime. Exilé à Tulsa, en Oklahoma, Dwight décide de constituer sa propre équipe avec une brochette de personnages hauts en couleur. Parviendra-t-il à rebâtir un nouvel empire du crime dans un lieu aussi improbable ?","Drame,Thriller",,,19,2,3.1,4.2,Taylor Sheridan,En cours,60 min,Tulsa King,
"Daisy Edgar-Jones,Paul Mescal,Desmond Eastwood",2020," Grande-Bretagne, Irlande","La relation compliquée entre Marianne et Connell depuis leurs années lycée dans une petite ville de l'ouest de l'Irlande jusqu'à leurs études universitaires au Trinity College, à Dublin. Intelligent, athlétique et populaire, Connell est troublé par Marianne, une camarade intimidante, solitaire et non moins intelligente. Les premiers émois nés à l'abri du regard des autres survivront-ils à la lumière ?","Drame,Romance",,,12,1,4.7,4.4,"Sally Rooney,Alice Birch",Terminée,30 min,Normal People,
"Jay Baruchel,Jay Baruchel,America Ferrera",Depuis 2015, U.S.A.,Harold et Krokmou partent à la découverte de nouveaux mondes étranges au-delà des frontières de Beurk et cherchent des espèces de dragons jusque-là inconnues. Parviendront-ils à stopper définitivement la guerre entre les vikings et les dragons ?,"Action,Animation,Comédie",,,78,6,4.2,5.0,"Chris Sanders,Dean DeBlois",En cours,22 min,Dragons : par-delà les rives,
"Nathalia Ramos,Brad Kavanagh,Jade Ramsey (II)",Depuis 2011," U.S.A., Grande-Bretagne, Belgique","Dans le pensionnat anglais Anubis, où vivent 9 étudiants, Joy disparait sans laisser de traces alors que la jeune américaine Nina arrive dans l’école. Patricia, qui doit maintenant partager sa chambre avec la nouvelle venue, pense que celle-ci à quelque chose à voir dans la disparition de sa meilleure amie.",Drame,,,190,3,4.2,5.0,"Hans Bourlon,Gert Verhulst",Annulée,22 min,Anubis,
"Miyu Tomita,Mariya Ise,Maaya Sakamoto",Depuis 2017, Japon,"""Abyss"", un lieu intriguant et nimbé de mystère. Un trou béant, seul lieu inexploré du monde. ","Aventure,Animation,Drame,Fantastique",,,25,2,4.2,5.0,,En cours,30 min,Made in Abyss,
"Jon Hamm,Christopher Stanley,John Slattery",2007 - 2015, U.S.A.,"Dans le New York des années 60, Don Draper est l'un des grands noms de la pub. Maître manipulateur, il compte dans son entourage des ennemis qui attendent sa chute.",Drame,,,92,7,4.2,4.5,Matthew Weiner,Terminée,42 min,Mad Men,
"Nicholas Aaron,Damian Lewis,Donnie Wahlberg",2001, U.S.A.,"Vivez la Seconde Guerre Mondiale aux côtés de la Easy Company, un groupe de soldats américains. Suivez-les en tant que groupe, ou individuellement, depuis leur formation en 1942, jusqu'à la libération de l'Allemagne Nazie en 1945, en passant par leur parachutage en Normandie le 6 juin 1944.","Drame,Guerre",,,10,1,4.2,5.0,"Steven Spielberg,Tom Hanks",Terminée,60 min,Frères d'armes,
"David Marsais,Grégoire Ludig,Aude Gogny-Goubert",2011, France,Après ,Comédie,,,1,2,4.2,4.0,,Terminée,5 min,Very Bad Blagues,
"Diego Luna,Kyle Soller,Adria Arjona",Depuis 2022, U.S.A.,Une série ,"Aventure,Drame,Science Fiction",,,12,2,3.6,4.2,"Stephen Schiff,Tony Gilroy",En cours,45 min,Andor,
"Frankie Muniz,Jane Kaczmarek,Bryan Cranston",2000 - 2006, U.S.A.,"Petit génie malgré lui, Malcolm vit dans une famille hors du commun. Le jeune surdoué n'hésite pas à se servir de son intelligence pour faire les 400 coups avec ses frères. Et les parents tentent tant bien que mal de canaliser l'énergie de ces petits démons.",Comédie,,,150,7,4.2,5.0,Linwood Boomer,Terminée,22 min,Malcolm,
"Ashley Walters, Kano,Jasmine Jobson",2011 - 2023, Grande-Bretagne,"Dans un quartier de l'est de Londres, le quotidien de plusieurs jeunes impliqués dans le trafic de drogue et les gangs.",Drame,,,32,5,4.2,5.0,Ronan Bennett,Terminée,52 min,Top Boy,
"Joon-Sang Tang,Jehoon Lee,Seung-hee Hong",Depuis 2021, Corée du Sud,"A la mort de son père, Gu-ru fait la rencontre de son oncle Sang-gu qu'il n'avait encore jamais vu. Tous deux en deuil, ils vont évoquer ensemble leurs souvenirs du disparu, partager leurs émotions, et comprendre encore davantage le sens des notions de la vie, de la mort et de l'esprit de famille.",Drame,,,10,1,4.2,5.0,"Sung-ho Kim,Yoon Ji-ryun",En cours,50 min,Move to Heaven,
"Jean Dujardin,Charlotte Gainsbourg,Nicole Garcia",Depuis 2023, France,"Renouant avec un père qu’il connaissait à peine, Alphonse, un quadragénaire en pleine déroute professionnelle et conjugale, se découvre une surprenante vocation. Sa trajectoire va alors croiser celle d’une galaxie de femmes plus passionnantes et excentriques les unes que les autres, le plongeant au cœur d’une histoire à la fois périlleuse, transgressive et pleine de tendresse.","Comédie,Drame,Romance",,,6,1,4.2,4.0,Nicolas Bedos,En cours,50 min,Alphonse,
"Mark McKenna,Ciara Bravo",2019, U.S.A.,"Wayne, 15 ans, prend la route sur son vieux vélo en compagnie de sa copine Del afin de récupérer la Pontiac Trans Am de 1978, volée à son père avant qu'il ne meure... ","Action,Comédie",,,10,1,4.2,5.0,Shawn Simmons,Annulée,30 min,Wayne,
"Ronny Chieng,Ronny Chieng,Jas Patrick",Depuis 2020, Chine,"Roi du déguisement armé d'une paire de ciseaux, Seven propose ses services de tueur à gages bon marché. Le problème, c'est qu'il a souvent du mal à terminer le travail.","Aventure,Animation,Comédie",,,44,4,4.2,5.0,,En cours,15 min,Scissor Seven,
"Adam Scott,Zach Cherry,Britt Lower",Depuis 2022, U.S.A.,"Mark Scout travaille pour Lumon Industries, où il dirige une équipe dont les employés subissent une opération chirurgicale de séparation entre leurs souvenirs liés à leur vie professionnelle et ceux liés à leur vie privée. Cette expérience risquée de l’équilibre entre travail et vie personnelle est remise en cause lorsque Mark se retrouve au cœur d’un mystère qui le forcera à affronter la vraie nature de son travail… et la sienne.","Drame,Thriller",,,18,2,4.0,4.4,Dan Erickson,En cours,60 min,Severance,
"Winona Ryder,David Harbour,Millie Bobby Brown",Depuis 2016, U.S.A.,"A Hawkins, en 1983 dans l'Indiana. Lorsque Will Byers disparaît de son domicile, ses amis se lancent dans une recherche semée d’embûches pour le retrouver. Dans leur quête de réponses, les garçons rencontrent une étrange jeune fille en fuite. Les garçons se lient d'amitié avec la demoiselle tatouée du chiffre ""11"" sur son poignet et au crâne rasé et découvrent petit à petit les détails sur son inquiétante situation. Elle est peut-être la clé de tous les mystères qui se cachent dans cette petite ville en apparence tranquille…","Drame,Fantastique,Epouvante-horreur,Science Fiction,Thriller",,,42,5,3.7,4.5,"Matt Duffer,Ross Duffer",En cours,55 min,Stranger Things,
